CANDIDATE,TIPO,PAIS,URL,DECISION,WHY,EVIDENCE,SOURCE_ID,STATUS,O_QUE_FALTA
Plantgest — banca dati varieta,BASE_OFICIAL,IT,https://plantgest.imagelinenetwork.com/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dono italiano identificado na pagina; endereco responde HTTP 200; portao 7D = REVIEW (90/100). Falta o degrau que o atlas exige para virar ficha.","HTTP 200 · titulo: Plantgest - Varietà di piante da frutto e orticole, news e  · ancora: titulo da pagina: Plantgest - Varietà di piante d",,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida"
ARPA Friuli Venezia Giulia — OSMER,BASE_OFICIAL,IT,https://www.arpa.fvg.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-012,PROMOVIDA,
ERSA FVG — Agenzia regionale per lo sviluppo rurale,BASE_OFICIAL,IT,https://www.ersa.fvg.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = REVIEW (91.09999999999999/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: ERSA FVG : Homepage · ancora: titulo da pagina: ERSA FVG : Homepage,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida; endereco por reconciliar (https://www.ersa.fvg.it/ -> https://www.ersa.fvg.it/cms/hp/)"
ARPA Lazio,BASE_OFICIAL,IT,https://www.arpalazio.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-013,PROMOVIDA,
ARSIAL — Agenzia Regionale Sviluppo Innovazione Agricoltura Lazio,BASE_OFICIAL,IT,https://www.arsial.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-007,PROMOVIDA,
Lazio — Agricoltura Regione Lazio,BASE_OFICIAL,IT,https://www.regione.lazio.it/cittadini/agricoltura,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-009,PROMOVIDA,
ARPA Liguria,BASE_OFICIAL,IT,https://www.arpal.liguria.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-021,PROMOVIDA,
Agriligurianet — Regione Liguria agricoltura,BASE_OFICIAL,IT,https://www.agriligurianet.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-020,PROMOVIDA,
Liguria — Regione Liguria agricoltura,BASE_OFICIAL,IT,https://www.regione.liguria.it/homepage-agricoltura.html,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-004,PROMOVIDA,
ARPA Lombardia,BASE_OFICIAL,IT,https://www.arpalombardia.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-011,PROMOVIDA,
Agricoltura Regione Lombardia,BASE_OFICIAL,IT,https://www.ersaf.lombardia.it/it,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-008,PROMOVIDA,
ERSAF Lombardia — Ente Regionale per i Servizi all'Agricoltura e alle Foreste,BASE_OFICIAL,IT,https://www.ersaf.lombardia.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = PASS (93/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Home - Ersaf · feed RSS declarado · ancora: titulo da pagina: Home - Ersaf,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou"
Ente Nazionale Risi,BASE_OFICIAL,IT,http://www.enterisi.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-014,PROMOVIDA,
ARPA Marche,BASE_OFICIAL,IT,https://www.arpa.marche.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-016,PROMOVIDA,
ASSAM Marche — Agenzia Servizi Settore Agroalimentare delle Marche,BASE_OFICIAL,IT,https://www.assam.marche.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = REVIEW (90/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Pagina di cortesia · data visivel: 2026-01-01 · ancora: titulo da pagina: Pagina di cortesia,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou"
ARPA Molise,BASE_OFICIAL,IT,https://www.arpamolise.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-014,PROMOVIDA,
Regione Molise — Agricoltura,BASE_OFICIAL,IT,https://www.regione.molise.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = PASS (89/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Regione Molise - Home · data visivel: 2026-02-28 · ancora: titulo da pagina: Regione Molise - Home,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou"
ISMEA — Istituto di Servizi per il Mercato Agricolo Alimentare,BASE_OFICIAL,IT,https://www.ismea.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T10-007,PROMOVIDA,
ISPRA — Istituto Superiore per la Protezione e la Ricerca Ambientale,BASE_OFICIAL,IT,https://www.isprambiente.gov.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-009,PROMOVIDA,
Rete Rurale Nazionale,BASE_OFICIAL,IT,https://www.reterurale.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = PASS (90/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Rete PAC · ancora: titulo da pagina: Rete PAC,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida"
SIAN — Sistema Informativo Agricolo Nazionale,BASE_OFICIAL,IT,https://www.sian.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = PASS (90/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: SIAN · ancora: titulo da pagina: SIAN,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida"
Servizio Fitosanitario Nazionale — Protezione delle Piante,BASE_OFICIAL,IT,https://www.protezionedellepiante.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T3-014,PROMOVIDA,
ARPA Piemonte,BASE_OFICIAL,IT,https://www.arpa.piemonte.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-019,PROMOVIDA,
Regione Piemonte — Agricoltura e cibo,BASE_OFICIAL,IT,https://www.regione.piemonte.it/web/temi/agricoltura,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = UNKNOWN (95.7/100). Falta o degrau que o atlas exige para virar ficha.",HTTP None · ancora: titulo da pagina: Agricoltura | Regione Piemonte,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida"
ARPA Puglia,BASE_OFICIAL,IT,https://www.arpa.puglia.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = PASS (92.2/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Agenzia Regionale per la Prevenzione e la Protezione dell'Am · ancora: titulo da pagina: Agenzia Regionale per la Prevenz,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida"
AGRIS Sardegna — Agenzia per la ricerca in agricoltura,BASE_OFICIAL,IT,https://www.sardegnaagricoltura.it/index.php?xsl=443,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = PASS (95/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Sardegna Agricoltura - · data visivel: 2026-09-14 · feed RSS declarado · ancora: titulo da pagina: Sardegna Agricoltura -,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou"
ARPA Sardegna,BASE_OFICIAL,IT,https://www.arpa.sardegna.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = REVIEW (87.8/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · ancora: titulo da pagina: ,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida; endereco por reconciliar (https://www.arpa.sardegna.it/ -> https://www.sardegnaambiente.it/arpas/)"
Sardegna Agricoltura — Laore,BASE_OFICIAL,IT,https://www.sardegnaagricoltura.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = REVIEW (91/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Sardegna Agricoltura - Home page · data visivel: 2026-09-14 · feed RSS declarado · ancora: titulo da pagina: Sardegna Agricoltura - Home page,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou"
ARPA Sicilia,BASE_OFICIAL,IT,https://www.arpa.sicilia.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-007,PROMOVIDA,
ARPAT Toscana,BASE_OFICIAL,IT,https://www.arpat.toscana.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-008,PROMOVIDA,
Regione Toscana — Agricoltura,BASE_OFICIAL,IT,https://www.regione.toscana.it/agricoltura,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-003,PROMOVIDA,
Toscana — Servizio Fitosanitario Regionale,BASE_OFICIAL,IT,https://www.regione.toscana.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T3-015,PROMOVIDA,
APPA Trento — Agenzia provinciale protezione ambiente,BASE_OFICIAL,IT,https://appa.provincia.tn.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-010,PROMOVIDA,
Provincia autonoma di Bolzano — Agricoltura,BASE_OFICIAL,IT,https://www.provincia.bz.it/agricoltura-foreste/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = PASS (90/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · ancora: titulo da pagina: ,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida"
Provincia autonoma di Trento — Agricoltura,BASE_OFICIAL,IT,https://www.provincia.tn.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-002,PROMOVIDA,
Regione Umbria — Agricoltura,BASE_OFICIAL,IT,https://www.regione.umbria.it/agricoltura,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-011,PROMOVIDA,
Umbria — Agricoltura e foreste,BASE_OFICIAL,IT,https://www.regione.umbria.it/home,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-005,PROMOVIDA,
ARPA Valle d'Aosta,BASE_OFICIAL,IT,https://www.arpa.vda.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-022,PROMOVIDA,
Regione Valle d'Aosta — Agricoltura,BASE_OFICIAL,IT,https://www.regione.vda.it/agricoltura/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-012,PROMOVIDA,
Valle d'Aosta — Assessorato Agricoltura e Risorse Naturali,BASE_OFICIAL,IT,https://www.regione.vda.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = REVIEW (91/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Sito ufficiale della Regione Autonoma Valle d'Aosta · data visivel: 2026-07-30 · ancora: titulo da pagina: Sito ufficiale della Regione Aut,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou"
Veneto Agricoltura — Agenzia veneta per l'innovazione nel settore primario,BASE_OFICIAL,IT,https://www.venetoagricoltura.org/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_BY_DOMAIN; pais: SIM — dono italiano identificado na pagina; endereco responde HTTP 200; portao 7D = PASS (94.40000000000001/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: myPortal · ancora: titulo da pagina: myPortal,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida"
Veneto — Servizio Fitosanitario Regionale,BASE_OFICIAL,IT,https://www.regione.veneto.it/web/agricoltura-e-foreste,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T3-016,PROMOVIDA,
UNITE Facolta di Bioscienze e Tecnologie Agro-alimentari e Ambientali,CIENCIA,IT,https://www.unite.it/UniTE/Bioscienze_e_Tecnologie_Agro-Alimentari_e_Ambientali,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T5-030,PROMOVIDA,
UNIRC Dipartimento di Agraria,CIENCIA,IT,https://www.agraria.unirc.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = REVIEW (86/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Dipartimento di Agraria | Università degli Studi Mediterrane · data visivel: 2026-09-10 · ancora: titulo da pagina: Dipartimento di Agraria | Univer,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou"
Antonio Pietro GARONNA — registo cientifico ORCID (Università degli Studi di Napoli Federico II),CIENCIA,IT,https://orcid.org/0000-0002-8441-5208,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T6-005,PROMOVIDA,
CNR ISAFOM — Istituto per i Sistemi Agricoli e Forestali del Mediterraneo,CIENCIA,IT,https://www.isafom.cnr.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-018,PROMOVIDA,
UNINA Dipartimento di Agraria — Portici,CIENCIA,IT,https://www.agraria.unina.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = PASS (78/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Dipartimento di Agraria · data visivel: 2018-10-16 · ancora: titulo da pagina: Dipartimento di Agraria,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou"
Antonio Masetti — registo cientifico ORCID (University of Bologna),CIENCIA,IT,https://orcid.org/0000-0001-6061-2752,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T6-004,PROMOVIDA,
Antonio Prodi — registo cientifico ORCID (University of Bologna),CIENCIA,IT,https://orcid.org/0000-0002-7221-7271,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T6-006,PROMOVIDA,
Bulletin of Insectology,CIENCIA,IT,http://www.bulletinofinsectology.org/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dono italiano identificado na pagina; endereco responde HTTP 200; portao 7D = PASS (91.09999999999999/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Bulletin of Insectology · ancora: titulo da pagina: Bulletin of Insectology,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida"
CLAUDIO RATTI — registo cientifico ORCID (Alma Mater Studiorum  Universita' di Bologna),CIENCIA,IT,https://orcid.org/0000-0002-5640-2143,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T6-008,PROMOVIDA,
CRPA — Centro Ricerche Produzioni Animali,CIENCIA,IT,https://www.crpa.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T5-013,PROMOVIDA,
CRPV — Centro Ricerche Produzioni Vegetali,CIENCIA,IT,https://www.crpv.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = REVIEW (84/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Ri.Nova societ&#xE0; cooperativa · data visivel: 2026-04-03 · ancora: titulo da pagina: Ri.Nova societ&#xE0; cooperativa,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; endereco por reconciliar (https://www.crpv.it/ -> https://rinova.eu/)"
Fondazione per l'Agricoltura F.lli Navarra,CIENCIA,IT,https://www.fondazionenavarra.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T5-010,PROMOVIDA,
IRIS UNIBO — Archivio istituzionale della ricerca,CIENCIA,IT,https://cris.unibo.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T5-018,PROMOVIDA,
Roberta Paris — registo cientifico ORCID (Council for Agricultural Research and Economics Analysis (CREA) ),CIENCIA,IT,https://orcid.org/0000-0001-7823-2475,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T6-030,PROMOVIDA,
SSICA — Stazione Sperimentale per l'Industria delle Conserve Alimentari,CIENCIA,IT,https://www.ssica.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T5-023,PROMOVIDA,
Stefano Maini — registo cientifico ORCID (Alma Mater Studiorum - Università di Bologna),CIENCIA,IT,https://orcid.org/0000-0001-7272-1243,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T6-033,PROMOVIDA,
Tito Caffi — registo cientifico ORCID (Università Cattolica del Sacro Cuore),CIENCIA,IT,https://orcid.org/0000-0001-9929-4130,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T6-034,PROMOVIDA,
UNIBO DISTAL — Dipartimento di Scienze e Tecnologie Agro-Alimentari,CIENCIA,IT,https://distal.unibo.it/it,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T5-033,PROMOVIDA,
UNIUD DI4A — Dipartimento di Scienze Agroalimentari Ambientali e Animali,CIENCIA,IT,https://www.di4a.uniud.it/it,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T5-028,PROMOVIDA,
Anita Nencioni — registo cientifico ORCID (Consiglio per la ricerca in agricoltura e l’analisi dell’economia agraria),CIENCIA,IT,https://orcid.org/0000-0003-1585-0529,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T6-002,PROMOVIDA,
Paolo Boccacci — registo cientifico ORCID (Consiglio Nazionale delle Ricerche),CIENCIA,IT,https://orcid.org/0000-0001-8574-0478,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T6-026,PROMOVIDA,
